epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.131277,1.272343,0.641667,0.859992,0.435055,0.410080,34:53
1,1.688951,0.839030,0.775804,0.931368,0.626113,0.599889,34:50
2,1.075227,0.673081,0.834407,0.939528,0.683342,0.684409,34:49
3,0.620931,0.887255,0.721203,0.933389,0.701569,0.643746,34:48
4,0.298239,0.857760,0.741793,0.932207,0.715993,0.673903,34:48
5,0.113932,0.725633,0.823388,0.937850,0.733050,0.713237,34:50
6,0.053725,0.768057,0.798566,0.955351,0.736479,0.699055,34:47
7,0.027452,0.726583,0.792733,0.932093,0.735648,0.696333,34:49
8,0.016807,0.658444,0.836886,0.952034,0.752024,0.723139,34:44
9,0.012769,0.750360,0.822549,0.936516,0.738666,0.659010,34:47
10,0.011073,0.727360,0.800282,0.941206,0.749202,0.714404,34:43
11,0.008842,0.670316,0.841957,0.944142,0.752100,0.714294,34:43
12,0.006638,0.713199,0.833607,0.923323,0.752600,0.676064,34:50
13,0.005692,0.727071,0.829374,0.923361,0.754348,0.712941,34:50
14,0.005087,0.708409,0.816144,0.937622,0.753255,0.714952,34:46
15,0.004747,0.692090,0.833187,0.943798,0.752572,0.718070,34:43
16,0.004405,0.694354,0.829451,0.943531,0.756916,0.725864,34:50
17,0.004131,0.698975,0.842224,0.938346,0.760289,0.717636,34:48
18,0.003927,0.703369,0.840203,0.946696,0.758000,0.724943,34:49
19,0.003695,0.676507,0.847066,0.946277,0.763684,0.725443,34:45
20,0.003290,0.677990,0.846913,0.943455,0.762374,0.730119,34:45
21,0.003143,0.678453,0.844321,0.940024,0.759519,0.717440,34:51
22,0.003049,0.671798,0.845007,0.938193,0.761734,0.722917,34:42
23,0.002901,0.693655,0.837419,0.956457,0.757518,0.678726,34:43
24,0.002827,0.667944,0.846837,0.957982,0.762182,0.720250,34:42
25,0.002708,0.689242,0.843673,0.943684,0.760355,0.710457,34:44
26,0.002484,0.676031,0.845770,0.957601,0.760078,0.725492,34:44
27,0.002421,0.677270,0.845045,0.953864,0.760670,0.723242,34:42
28,0.002443,0.684805,0.846913,0.942464,0.758937,0.716908,34:44
29,0.002398,0.686504,0.836581,0.957487,0.754752,0.674838,34:43
