epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.985268,3.364798,0.254890,0.448355,0.091135,0.081125,05:25
1,3.489507,2.517683,0.400389,0.605902,0.217783,0.249067,05:24
2,2.938743,2.032301,0.495863,0.721813,0.300628,0.350489,05:21
3,2.592080,1.938040,0.516986,0.751211,0.351543,0.347718,05:23
4,2.328555,1.715505,0.503984,0.742022,0.393846,0.411616,05:22
5,2.118053,1.881806,0.499295,0.772296,0.407749,0.391468,05:19
6,1.918979,1.537599,0.558318,0.849125,0.445690,0.444804,05:18
7,1.760691,1.475156,0.567850,0.817440,0.463032,0.411881,05:24
8,1.610069,1.407405,0.653906,0.858695,0.514208,0.518305,05:23
9,1.475857,1.420574,0.625424,0.811073,0.494408,0.457414,05:22
10,1.340746,1.583400,0.576963,0.821939,0.512946,0.501498,05:19
11,1.165377,1.210848,0.648950,0.902009,0.534936,0.543545,05:22
12,1.058186,1.535103,0.585046,0.833835,0.530557,0.474256,05:22
13,0.963195,1.471998,0.622031,0.884432,0.532474,0.510384,05:20
14,0.815639,1.390481,0.620811,0.894612,0.543535,0.471788,05:22
15,0.723813,1.289112,0.616311,0.870058,0.557609,0.518357,05:21
16,0.620964,1.332320,0.650703,0.863156,0.553503,0.492047,05:27
17,0.550697,1.248038,0.616159,0.889846,0.564773,0.514043,05:21
18,0.463265,1.241353,0.638045,0.887330,0.568198,0.518171,05:25
19,0.411247,1.346528,0.637702,0.851641,0.569736,0.577679,05:27
20,0.346346,1.275415,0.670111,0.890761,0.574563,0.542417,05:23
21,0.307328,1.298987,0.642887,0.876959,0.576337,0.541427,05:25
22,0.265728,1.360349,0.674000,0.888969,0.581554,0.507002,05:23
23,0.235371,1.364520,0.665459,0.888359,0.578716,0.551781,05:24
24,0.200745,1.282388,0.706562,0.881191,0.587458,0.532960,05:25
25,0.175603,1.293690,0.667137,0.885157,0.578899,0.548356,05:23
26,0.153974,1.236366,0.695047,0.890647,0.584410,0.564760,05:21
27,0.136971,1.206938,0.720174,0.891867,0.597985,0.562202,05:22
28,0.124447,1.217216,0.748694,0.883555,0.594556,0.567573,05:23
29,0.118324,1.203650,0.748808,0.883708,0.592941,0.562264,05:21
