epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,5.670799,4.105153,0.068060,0.150723,0.094100,0.070179,05:18
1,3.978241,3.130407,0.188889,0.387387,0.219050,0.126962,05:18
2,3.199061,3.026803,0.196248,0.422809,0.260042,0.246377,05:15
3,2.672884,2.540405,0.327258,0.523201,0.328610,0.298817,05:32
4,2.228843,2.280515,0.333664,0.571205,0.386396,0.290961,05:21
5,1.871730,2.199278,0.381439,0.654211,0.415733,0.372196,05:16
6,1.592092,2.120047,0.427193,0.659854,0.442377,0.379553,05:16
7,1.350733,2.009983,0.432341,0.678690,0.451628,0.378623,05:15
8,1.151017,1.946826,0.421360,0.708850,0.459802,0.408349,05:18
9,0.989155,1.840375,0.493690,0.744843,0.472452,0.421710,05:18
10,0.858309,1.826927,0.448431,0.782857,0.474889,0.398074,05:17
11,0.749095,1.750143,0.471995,0.825676,0.491773,0.436832,05:15
12,0.653250,1.816707,0.473367,0.780570,0.495640,0.413195,05:17
13,0.575930,1.785616,0.500286,0.784764,0.517832,0.465584,05:15
14,0.479945,1.713992,0.524193,0.798871,0.520337,0.478686,05:17
15,0.420319,1.719670,0.526862,0.845388,0.512823,0.480494,05:17
16,0.369684,1.763971,0.524307,0.789835,0.521808,0.471519,05:18
17,0.318001,1.758394,0.564304,0.817249,0.519799,0.483410,05:31
18,0.276658,1.752009,0.498303,0.823808,0.524637,0.456680,05:37
19,0.241219,1.740831,0.563008,0.830022,0.537486,0.456594,05:19
20,0.215827,1.769318,0.563084,0.778778,0.533075,0.489556,05:17
21,0.186129,1.748237,0.514927,0.799558,0.529271,0.480162,05:18
22,0.169549,1.722894,0.579174,0.814504,0.540038,0.499538,05:17
23,0.151659,1.766220,0.531361,0.808442,0.529823,0.490454,05:09
24,0.139526,1.756972,0.562093,0.787357,0.538506,0.490611,05:09
25,0.122796,1.785293,0.559538,0.829908,0.535853,0.489121,05:06
26,0.112397,1.767429,0.515804,0.817516,0.538063,0.496755,05:09
27,0.103649,1.761537,0.540321,0.805811,0.537202,0.504225,05:10
28,0.094764,1.786410,0.553666,0.803676,0.542860,0.486428,05:08
29,0.088044,1.796906,0.544820,0.795554,0.534223,0.485547,05:08
