epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.872766,3.028917,0.250734,0.454646,0.094176,0.087610,05:10
1,3.285893,2.354875,0.379418,0.642468,0.201959,0.253922,05:07
2,2.695978,2.093833,0.402067,0.655927,0.278674,0.299808,05:08
3,2.313012,1.702041,0.483090,0.777634,0.343625,0.325550,05:04
4,2.018463,1.808870,0.461700,0.726579,0.391503,0.335737,05:03
5,1.778885,1.561271,0.497198,0.760171,0.433437,0.394285,05:08
6,1.570010,1.679416,0.471423,0.713349,0.418854,0.398874,05:08
7,1.380802,1.380277,0.615587,0.788958,0.475838,0.474717,05:07
8,1.213419,1.423387,0.593663,0.793762,0.488903,0.451565,05:05
9,1.051966,1.327992,0.569299,0.835055,0.485838,0.454469,05:06
10,0.906115,1.401171,0.574866,0.804286,0.486086,0.456891,05:08
11,0.786021,1.209173,0.631830,0.842109,0.497705,0.463967,05:09
12,0.668602,1.378567,0.586991,0.812369,0.509428,0.461708,05:04
13,0.569756,1.465359,0.593244,0.796622,0.487028,0.431515,05:09
14,0.435037,1.216707,0.671789,0.832730,0.530942,0.476169,05:06
15,0.349221,1.122098,0.663400,0.843939,0.527371,0.467349,05:06
16,0.298053,1.268833,0.576391,0.828345,0.517919,0.444480,05:06
17,0.243566,1.372144,0.592443,0.788043,0.510856,0.410438,05:07
18,0.190846,1.293951,0.607122,0.838182,0.536964,0.472580,05:09
19,0.152885,1.198241,0.679758,0.821482,0.546292,0.495244,05:07
20,0.117135,1.208421,0.643955,0.844893,0.553568,0.514700,05:05
21,0.095419,1.195495,0.668014,0.855912,0.549531,0.501912,05:06
22,0.076678,1.234584,0.642582,0.825790,0.561120,0.508327,05:04
23,0.065257,1.275606,0.654669,0.810768,0.552490,0.500233,05:05
24,0.055345,1.213041,0.678842,0.817516,0.558465,0.511472,05:09
25,0.046739,1.231512,0.617112,0.854615,0.547060,0.503485,05:08
26,0.040215,1.325955,0.609715,0.810463,0.551210,0.510937,05:07
27,0.038001,1.168526,0.677622,0.852976,0.570721,0.513869,05:07
28,0.032174,1.217208,0.604453,0.854349,0.549846,0.496829,05:06
29,0.030508,1.270058,0.628741,0.812216,0.552956,0.507955,05:10
