epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,4.334673,2.318090,0.461471,0.649445,0.342193,0.374023,05:56
1,2.774698,2.004668,0.486598,0.698936,0.451544,0.393870,05:57
2,2.025083,1.727721,0.551378,0.767568,0.512534,0.465032,05:50
3,1.485999,1.655115,0.567545,0.786022,0.566244,0.481357,05:56
4,1.083848,1.684137,0.573455,0.758989,0.581740,0.504733,05:54
5,0.773271,1.457609,0.617341,0.781218,0.603333,0.524852,05:52
6,0.542159,1.628392,0.550654,0.788539,0.594921,0.534928,05:50
7,0.368105,1.557376,0.660198,0.805124,0.605232,0.598368,05:37
8,0.214384,1.528086,0.622260,0.819957,0.617484,0.537285,05:40
9,0.128895,1.590205,0.665002,0.837953,0.630435,0.567690,05:40
10,0.080138,1.583049,0.713387,0.825790,0.629370,0.540022,05:34
11,0.055919,1.603062,0.659816,0.822473,0.625895,0.548044,05:38
12,0.039536,1.598404,0.672932,0.833759,0.632611,0.556999,05:37
13,0.031019,1.623271,0.672475,0.851222,0.632044,0.556045,05:39
14,0.024087,1.691617,0.679910,0.839478,0.633207,0.574221,05:41
15,0.019955,1.561399,0.675830,0.844397,0.635198,0.557295,05:35
16,0.017997,1.606953,0.670340,0.844778,0.639370,0.574951,05:36
17,0.015255,1.645239,0.669196,0.825066,0.638592,0.572716,05:41
18,0.013680,1.612213,0.659130,0.841842,0.634476,0.570228,05:37
19,0.012178,1.668873,0.655889,0.845388,0.629888,0.565992,05:36
20,0.011552,1.636876,0.654516,0.839707,0.627379,0.561506,05:42
21,0.011386,1.632898,0.670035,0.843444,0.629018,0.557508,05:38
22,0.010134,1.706033,0.659854,0.839135,0.630827,0.556248,05:36
23,0.009125,1.669273,0.660045,0.849964,0.626785,0.578164,05:35
24,0.008578,1.675745,0.664544,0.847447,0.634997,0.566672,05:35
25,0.008719,1.677321,0.654669,0.844588,0.632389,0.564081,05:39
26,0.007826,1.673027,0.659054,0.840241,0.634594,0.565052,05:38
27,0.007467,1.683730,0.655927,0.839555,0.630175,0.564975,05:36
28,0.007080,1.666794,0.660083,0.841842,0.632580,0.581335,05:37
29,0.007218,1.721774,0.657948,0.839555,0.635784,0.578959,05:35
