epoch,train_loss,valid_loss,accuracy,top_3,f1_score,country_f1_score,time
0,3.727865,1.983911,0.510276,0.657147,0.282462,0.318848,05:44
1,2.417893,1.694785,0.522210,0.706753,0.415658,0.379164,05:42
2,1.861563,1.505669,0.576581,0.774888,0.481623,0.451068,05:42
3,1.470504,1.460537,0.561597,0.798833,0.501998,0.474544,05:40
4,1.116976,1.539538,0.620201,0.803180,0.564192,0.517354,05:39
5,0.819389,1.461537,0.600031,0.795173,0.568850,0.518748,05:39
6,0.508993,1.479562,0.587029,0.790216,0.584406,0.537425,05:34
7,0.313687,1.480871,0.642696,0.825676,0.593815,0.571155,05:40
8,0.161779,1.554606,0.609830,0.821558,0.607545,0.578683,05:42
9,0.093102,1.524318,0.667671,0.816525,0.623432,0.542351,05:36
10,0.052350,1.385908,0.711938,0.815152,0.636234,0.567689,05:35
11,0.036979,1.493436,0.644222,0.811225,0.624288,0.557139,05:36
12,0.028175,1.553515,0.654249,0.827430,0.626929,0.567997,05:37
13,0.019986,1.601419,0.607313,0.818660,0.626081,0.549765,05:39
14,0.015815,1.608523,0.633202,0.821634,0.623552,0.559681,05:35
15,0.012540,1.452371,0.677165,0.824265,0.634648,0.566342,05:37
16,0.011436,1.557632,0.657643,0.826934,0.630344,0.564669,05:39
17,0.009097,1.574116,0.639189,0.823998,0.624521,0.565908,05:35
18,0.007964,1.557019,0.644870,0.826553,0.629974,0.563776,05:34
19,0.007056,1.563410,0.655927,0.828574,0.631047,0.561061,05:41
20,0.006153,1.538426,0.657757,0.826438,0.634182,0.568719,05:38
21,0.006061,1.465647,0.682655,0.834407,0.638164,0.572330,05:36
22,0.005412,1.628038,0.675030,0.828307,0.642452,0.589281,05:39
23,0.004953,1.529566,0.664201,0.837191,0.635203,0.570207,05:39
24,0.004169,1.580605,0.674877,0.841804,0.644637,0.575521,05:41
25,0.004608,1.529560,0.671407,0.828421,0.638572,0.584557,05:34
26,0.004023,1.556318,0.674496,0.822511,0.639067,0.571193,05:38
27,0.003702,1.561230,0.668281,0.831204,0.640717,0.571995,05:38
28,0.003442,1.550209,0.665688,0.820300,0.635135,0.581506,05:36
29,0.003653,1.566629,0.674534,0.830747,0.636324,0.567437,05:38
